timestamp_start,length_mean,length_range,length_median,ttl_mean,ttl_range,ttl_median,payload_length_mean,payload_length_range,payload_length_median,most_freq_highest_layer,most_freq_src_port,most_freq_dst_port,most_freq_protocol,most_freq_tcp_flags,label,duration
93.280366,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.4231003837905407
93.284077,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.3875112090068518
93.286425,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.41382748855630147
93.453734,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.5313790372710232
93.462953,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.0741601994819058
93.462986,1459.75,1085,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.49399701778398314
93.468926,1514.0,0,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.32129029924846964
93.469699,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.020874757034544243
93.469712,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.5960053907869296
93.489414,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.43579435679399414
93.492408,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.056629730650972106
93.492433,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.08528388268726092
